3079775378172221,530337061
6692094527084232,456573564
1359407264950506,924243918
8856700850008570,096092467
0478579594874806,846449442
6985256528668438,864792867
0417180286827061,861302793
1189202575023017,507195453
0855676855550583,711284795
6453180205595115,447678322
8812651654210079,109388964
3649177938210995,188791652
1884733341146077,325040670
1056642673695251,792934182
1127525580154626,343120576
5568393071046447,697212498
2617445600049015,814506371
4659384266142888,958172360
9574760112773271,194228547
7781882516391493,361905708
